epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,9802.21,1.02169,0.80819,0.91191,0.72723,0.67064,0.67724,0.4674,1.01077,0.84679,0.92427,0.000315059,0.000315059,0.000315059
68,9945.26,1.02433,0.80956,0.9112,0.7057,0.68081,0.68261,0.47495,1.00245,0.83864,0.92477,0.00030606,0.00030606,0.00030606
69,10093.2,1.02523,0.82343,0.91305,0.73768,0.68143,0.68537,0.47695,1.00997,0.83663,0.92513,0.000297061,0.000297061,0.000297061
70,10237.7,1.02011,0.80555,0.90619,0.72961,0.6618,0.67765,0.47263,1.012,0.85173,0.92651,0.000288062,0.000288062,0.000288062
71,10383.6,1.01819,0.80118,0.91213,0.75726,0.65186,0.68608,0.47529,1.00529,0.83995,0.92203,0.000279063,0.000279063,0.000279063
72,10535.7,1.00713,0.79757,0.90557,0.72626,0.68064,0.67659,0.46963,1.00352,0.84069,0.92272,0.000270064,0.000270064,0.000270064
73,10685.3,1.01012,0.8025,0.91077,0.71998,0.68391,0.68168,0.47542,0.9994,0.83939,0.92055,0.000261065,0.000261065,0.000261065
74,10830.4,0.99053,0.79295,0.90686,0.74527,0.6554,0.67796,0.47349,0.99512,0.8413,0.91903,0.000252066,0.000252066,0.000252066
75,10976.7,1.00962,0.78872,0.90983,0.72618,0.65645,0.68234,0.47548,0.99758,0.8606,0.92103,0.000243067,0.000243067,0.000243067
76,11125.4,1.00803,0.78333,0.90832,0.72279,0.68,0.67668,0.46744,1.00771,0.84655,0.92176,0.000234068,0.000234068,0.000234068
77,11272.4,1.01215,0.79485,0.91514,0.69884,0.67868,0.67457,0.46792,0.99774,0.83888,0.91632,0.000225068,0.000225068,0.000225068
78,11421.7,0.99844,0.78802,0.90761,0.75243,0.6617,0.69729,0.48409,1.00054,0.83699,0.92109,0.000216069,0.000216069,0.000216069
79,11569.1,1.01185,0.79134,0.90913,0.73177,0.68461,0.6997,0.48561,1.01572,0.84026,0.92015,0.00020707,0.00020707,0.00020707
80,11720.4,0.99291,0.76798,0.90158,0.73442,0.67446,0.69234,0.48453,0.99697,0.83859,0.92022,0.000198071,0.000198071,0.000198071
81,11869.8,1.0057,0.78244,0.9053,0.71205,0.69855,0.68571,0.47931,0.99402,0.83858,0.91898,0.000189072,0.000189072,0.000189072
82,12019.5,1.00366,0.77463,0.90423,0.7375,0.66292,0.68386,0.47784,0.99915,0.83655,0.91967,0.000180073,0.000180073,0.000180073
83,12169.6,1.00919,0.7751,0.90902,0.74901,0.65514,0.68175,0.47731,0.99396,0.84184,0.92215,0.000171074,0.000171074,0.000171074
84,12320.4,0.97306,0.75353,0.89793,0.75774,0.66402,0.69314,0.48602,0.99228,0.82728,0.91917,0.000162075,0.000162075,0.000162075
85,12468,0.99498,0.76726,0.9053,0.73303,0.68575,0.68692,0.47962,0.99914,0.82581,0.91765,0.000153076,0.000153076,0.000153076
86,12620.5,1.00446,0.77083,0.90785,0.72881,0.68583,0.68832,0.47857,1.00329,0.842,0.92014,0.000144077,0.000144077,0.000144077
87,12770.4,0.97009,0.74676,0.90214,0.71617,0.69749,0.68716,0.47603,0.98906,0.82389,0.91764,0.000135077,0.000135077,0.000135077
88,12921.2,0.98879,0.7567,0.90112,0.71813,0.67393,0.68432,0.47761,0.99379,0.85657,0.91698,0.000126078,0.000126078,0.000126078
89,13069,0.98058,0.75307,0.90037,0.75651,0.66615,0.68318,0.4762,0.99343,0.84741,0.9172,0.000117079,0.000117079,0.000117079
90,13219.3,0.96589,0.74959,0.90346,0.75488,0.67192,0.68645,0.47699,0.9924,0.83706,0.91991,0.00010808,0.00010808,0.00010808
91,13357.5,0.94982,0.70558,0.88842,0.7317,0.66704,0.68058,0.47147,0.9955,0.83961,0.92189,9.9081e-05,9.9081e-05,9.9081e-05
92,13497.6,0.95256,0.69398,0.88975,0.74453,0.66832,0.69183,0.47704,0.99392,0.84281,0.92029,9.00819e-05,9.00819e-05,9.00819e-05
93,13635.6,0.9464,0.68385,0.88511,0.7496,0.6788,0.68768,0.47496,0.99407,0.82986,0.91816,8.10828e-05,8.10828e-05,8.10828e-05
94,13775,0.94962,0.67847,0.88214,0.67612,0.73003,0.69972,0.47969,0.99461,0.8332,0.92098,7.20837e-05,7.20837e-05,7.20837e-05
95,13915.9,0.92792,0.66477,0.88262,0.74867,0.67328,0.69811,0.48554,0.98613,0.8277,0.91842,6.30846e-05,6.30846e-05,6.30846e-05
96,14054.3,0.94224,0.67263,0.88059,0.74347,0.67406,0.69957,0.48684,0.99368,0.82818,0.91752,5.40855e-05,5.40855e-05,5.40855e-05
97,14191.1,0.93937,0.67048,0.88512,0.75183,0.67271,0.69482,0.47994,0.99137,0.83345,0.9178,4.50864e-05,4.50864e-05,4.50864e-05
98,14330,0.92948,0.66823,0.88321,0.74089,0.67975,0.6954,0.48228,0.99005,0.82955,0.91821,3.60873e-05,3.60873e-05,3.60873e-05
99,14465,0.93382,0.66017,0.88184,0.67669,0.72532,0.69639,0.48112,0.99315,0.83358,0.91852,2.70882e-05,2.70882e-05,2.70882e-05
100,14601.1,0.92298,0.65385,0.87996,0.73066,0.69751,0.69502,0.48169,0.98727,0.82685,0.9178,1.80891e-05,1.80891e-05,1.80891e-05
