epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.042,1.62928,3.24667,1.14839,0.4306,0.28942,0.25806,0.1575,1.41683,2.11829,1.04832,0.00030147,0.00030147,0.00030147
2,304.299,1.43482,1.92012,1.04848,0.59361,0.4275,0.43057,0.2611,1.27213,1.64152,1.00434,0.000598485,0.000598485,0.000598485
3,452.346,1.34934,1.61552,1.02851,0.76648,0.48187,0.46942,0.28352,1.23463,1.42017,0.99709,0.000889502,0.000889502,0.000889502
4,603.486,1.31511,1.49271,1.01601,0.65464,0.52506,0.50861,0.31949,1.19438,1.3191,0.98724,0.000882003,0.000882003,0.000882003
5,752.297,1.29275,1.40697,1.00733,0.68575,0.54317,0.54302,0.34864,1.14862,1.25745,0.9699,0.000873004,0.000873004,0.000873004
6,902.043,1.25936,1.35538,0.99958,0.73163,0.54725,0.56052,0.3615,1.15463,1.19788,0.96982,0.000864004,0.000864004,0.000864004
7,1055.18,1.2481,1.30931,0.98775,0.68888,0.59627,0.59749,0.39816,1.12548,1.21747,0.96473,0.000855005,0.000855005,0.000855005
8,1206.54,1.2197,1.26095,0.98459,0.71247,0.58575,0.60127,0.39805,1.14095,1.14169,0.9629,0.000846006,0.000846006,0.000846006
9,1353.47,1.21813,1.22982,0.98076,0.70621,0.62614,0.61991,0.41203,1.13401,1.09853,0.95703,0.000837007,0.000837007,0.000837007
10,1500.45,1.20159,1.20349,0.97269,0.69376,0.63565,0.63096,0.42126,1.09949,1.06811,0.95776,0.000828008,0.000828008,0.000828008
11,1650.21,1.19075,1.19372,0.97218,0.66299,0.66567,0.63878,0.42092,1.12374,1.08857,0.9538,0.000819009,0.000819009,0.000819009
12,1799.11,1.18182,1.15933,0.96531,0.64417,0.64627,0.62935,0.41609,1.10931,1.07271,0.95396,0.00081001,0.00081001,0.00081001
13,1944.93,1.18352,1.15116,0.96595,0.64877,0.64449,0.63433,0.42842,1.10627,1.05646,0.94794,0.000801011,0.000801011,0.000801011
14,2094.12,1.15341,1.11813,0.95635,0.68046,0.64505,0.62833,0.42568,1.07078,1.03145,0.94519,0.000792012,0.000792012,0.000792012
15,2242.59,1.15308,1.1125,0.95887,0.73412,0.63816,0.65961,0.45038,1.0619,1.00678,0.94317,0.000783013,0.000783013,0.000783013
16,2390.51,1.15255,1.10145,0.96174,0.71243,0.62562,0.6393,0.43166,1.07175,0.99815,0.95324,0.000774013,0.000774013,0.000774013
17,2539.06,1.16237,1.10089,0.95759,0.67969,0.6305,0.63877,0.43302,1.07553,1.01266,0.94804,0.000765014,0.000765014,0.000765014
18,2684.45,1.14484,1.07227,0.95875,0.67229,0.64816,0.64713,0.43712,1.06543,0.98694,0.94927,0.000756015,0.000756015,0.000756015
19,2830.53,1.14109,1.05953,0.95952,0.70702,0.61752,0.63318,0.42975,1.06706,0.98701,0.94184,0.000747016,0.000747016,0.000747016
20,2976.43,1.13278,1.04634,0.95075,0.66563,0.69108,0.66379,0.45287,1.06314,0.96279,0.94076,0.000738017,0.000738017,0.000738017
21,3124.11,1.12335,1.03046,0.94969,0.6898,0.66954,0.65805,0.44825,1.0708,0.96583,0.93898,0.000729018,0.000729018,0.000729018
22,3270.22,1.13442,1.02944,0.9516,0.71361,0.6564,0.6591,0.45073,1.06168,0.96395,0.93937,0.000720019,0.000720019,0.000720019
23,3414.42,1.10854,1.01369,0.9436,0.68326,0.66089,0.64956,0.44481,1.04727,0.94526,0.93851,0.00071102,0.00071102,0.00071102
24,3562.45,1.12375,1.02205,0.95264,0.71562,0.65966,0.66706,0.46069,1.04404,0.94588,0.93296,0.000702021,0.000702021,0.000702021
25,3711.53,1.11999,1.0029,0.94065,0.66576,0.65379,0.64085,0.43953,1.05082,0.93935,0.94011,0.000693022,0.000693022,0.000693022
26,3860.1,1.11064,0.98349,0.93879,0.69605,0.6702,0.64757,0.44411,1.04484,0.92872,0.93799,0.000684022,0.000684022,0.000684022
27,4004.76,1.09057,0.99382,0.9424,0.6933,0.63951,0.6537,0.44758,1.05189,0.95736,0.93812,0.000675023,0.000675023,0.000675023
28,4152.84,1.10785,0.9941,0.94162,0.66512,0.66878,0.67062,0.46639,1.03813,0.91638,0.93145,0.000666024,0.000666024,0.000666024
29,4299.37,1.10751,0.97856,0.94834,0.71993,0.64703,0.65866,0.45388,1.03858,0.91723,0.93618,0.000657025,0.000657025,0.000657025
30,4441.59,1.10954,0.98403,0.93926,0.67962,0.69859,0.69409,0.4758,1.04963,0.90199,0.93468,0.000648026,0.000648026,0.000648026
31,4587.32,1.09193,0.96116,0.93958,0.69909,0.68482,0.66899,0.45957,1.03935,0.90957,0.93272,0.000639027,0.000639027,0.000639027
32,4732.57,1.08753,0.95417,0.9375,0.67058,0.69286,0.66061,0.45718,1.03265,0.90878,0.93213,0.000630028,0.000630028,0.000630028
33,4877.21,1.09813,0.9575,0.93817,0.69635,0.66053,0.65917,0.45039,1.05024,0.91597,0.93059,0.000621029,0.000621029,0.000621029
34,5021.96,1.09945,0.95591,0.93764,0.69107,0.66033,0.6695,0.46125,1.03559,0.90367,0.93079,0.00061203,0.00061203,0.00061203
35,5167.37,1.07255,0.93326,0.9365,0.70691,0.65874,0.67689,0.46641,1.02499,0.88399,0.92401,0.000603031,0.000603031,0.000603031
36,5312.16,1.08012,0.92333,0.9323,0.65681,0.68524,0.67576,0.47029,1.03083,0.88189,0.93117,0.000594031,0.000594031,0.000594031
37,5455.18,1.07919,0.92211,0.92798,0.72298,0.65659,0.6782,0.4688,1.02545,0.87814,0.92742,0.000585032,0.000585032,0.000585032
38,5601.44,1.07748,0.93423,0.93214,0.72062,0.69272,0.70132,0.48674,1.02114,0.87759,0.92511,0.000576033,0.000576033,0.000576033
39,5743.72,1.07148,0.9188,0.9344,0.68144,0.69768,0.6951,0.48423,1.02679,0.8819,0.9286,0.000567034,0.000567034,0.000567034
40,5887.72,1.08607,0.92262,0.93214,0.68851,0.64852,0.65879,0.4539,1.01795,0.88903,0.92679,0.000558035,0.000558035,0.000558035
41,6033.08,1.0566,0.90079,0.92574,0.71567,0.64889,0.68384,0.47561,1.01328,0.87069,0.9268,0.000549036,0.000549036,0.000549036
42,6177.29,1.06713,0.90693,0.92622,0.7043,0.67542,0.67565,0.46746,1.02805,0.89526,0.92618,0.000540037,0.000540037,0.000540037
43,6320.6,1.06401,0.90667,0.92936,0.71997,0.64846,0.67985,0.47012,1.03271,0.86554,0.92682,0.000531038,0.000531038,0.000531038
44,6465.55,1.05809,0.8927,0.92726,0.71261,0.66595,0.66817,0.46509,1.02313,0.87634,0.92579,0.000522039,0.000522039,0.000522039
45,6609.96,1.06365,0.89255,0.92337,0.75296,0.64937,0.68328,0.47611,1.01561,0.88784,0.92848,0.00051304,0.00051304,0.00051304
46,6751.43,1.06691,0.89219,0.93037,0.69529,0.66801,0.66876,0.46503,1.02294,0.882,0.92824,0.00050404,0.00050404,0.00050404
47,6892.94,1.06983,0.89122,0.92268,0.729,0.65213,0.66499,0.45693,1.02252,0.87821,0.9263,0.000495041,0.000495041,0.000495041
48,7037.52,1.05846,0.88176,0.92288,0.74496,0.64063,0.67481,0.4685,1.01721,0.87096,0.92616,0.000486042,0.000486042,0.000486042
49,7184.67,1.06097,0.87702,0.92376,0.70951,0.67677,0.68107,0.47275,1.00479,0.85651,0.92444,0.000477043,0.000477043,0.000477043
50,7328.74,1.05453,0.87366,0.92284,0.69558,0.67937,0.67749,0.47507,1.01748,0.86323,0.92542,0.000468044,0.000468044,0.000468044
51,7475.94,1.06044,0.87409,0.92131,0.7215,0.67645,0.69911,0.49215,1.01029,0.84999,0.9241,0.000459045,0.000459045,0.000459045
52,7617.76,1.03778,0.85959,0.92614,0.72004,0.64997,0.66996,0.46534,1.01177,0.86061,0.92266,0.000450046,0.000450046,0.000450046
53,7765.02,1.04947,0.86544,0.92094,0.73339,0.68247,0.67516,0.4683,1.01681,0.86547,0.92629,0.000441047,0.000441047,0.000441047
54,7907.29,1.04452,0.8616,0.92763,0.73175,0.65627,0.68545,0.47444,1.01883,0.85864,0.92628,0.000432048,0.000432048,0.000432048
55,8055.69,1.04056,0.86139,0.92321,0.65564,0.71202,0.67874,0.47356,1.00329,0.84335,0.92334,0.000423049,0.000423049,0.000423049
56,8200.69,1.04604,0.8567,0.92207,0.6856,0.65076,0.66394,0.45994,1.0058,0.8577,0.92294,0.000414049,0.000414049,0.000414049
57,8346.58,1.03161,0.847,0.91772,0.68978,0.68771,0.68048,0.47399,1.02831,0.86032,0.92402,0.00040505,0.00040505,0.00040505
58,8492.27,1.03131,0.85101,0.92159,0.7622,0.65378,0.68423,0.476,1.01449,0.88126,0.92353,0.000396051,0.000396051,0.000396051
59,8637.94,1.04095,0.85204,0.92071,0.66715,0.7266,0.68926,0.48042,1.01273,0.84559,0.92443,0.000387052,0.000387052,0.000387052
60,8784.71,1.02041,0.83054,0.91554,0.69533,0.70041,0.67774,0.46818,1.01528,0.85938,0.9215,0.000378053,0.000378053,0.000378053
61,8931.95,1.03265,0.83114,0.91552,0.719,0.6711,0.68877,0.48457,0.99833,0.84199,0.92131,0.000369054,0.000369054,0.000369054
62,9078.66,1.02202,0.82149,0.9164,0.73621,0.68189,0.68428,0.47557,1.01409,0.84588,0.92377,0.000360055,0.000360055,0.000360055
63,9221.48,1.01714,0.82117,0.9147,0.7147,0.68107,0.69245,0.48448,1.00529,0.84377,0.92136,0.000351056,0.000351056,0.000351056
64,9367.42,1.02313,0.83183,0.91683,0.68526,0.68091,0.69474,0.49018,1.00446,0.84655,0.92312,0.000342057,0.000342057,0.000342057
65,9511.54,1.01415,0.818,0.91249,0.71244,0.67984,0.69299,0.48243,1.00594,0.83987,0.92164,0.000333058,0.000333058,0.000333058
66,9657.84,1.03494,0.81684,0.91613,0.7228,0.67219,0.69595,0.48149,1.00025,0.83624,0.92321,0.000324058,0.000324058,0.000324058
